Identifier,DES-0.1ug/L-B
ENSDARG00000099104,399
ENSDARG00000102407,0
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,14
ENSDARG00000104071,21
ENSDARG00000102746,7
ENSDARG00000103929,9
ENSDARG00000101073,0
ENSDARG00000100223,30
ENSDARG00000096573,0
ENSDARG00000100782,2
ENSDARG00000034862,6
ENSDARG00000075827,11
ENSDARG00000088581,11
ENSDARG00000076900,5
ENSDARG00000013802,11
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,1
ENSDARG00000029936,8
ENSDARG00000041589,1
ENSDARG00000041592,15
ENSDARG00000075108,1
ENSDARG00000016304,9
ENSDARG00000058803,1
ENSDARG00000063385,3
ENSDARG00000007804,5
ENSDARG00000068261,9
ENSDARG00000063371,0
ENSDARG00000078751,8
ENSDARG00000078878,0
ENSDARG00000016343,3
ENSDARG00000023678,7
ENSDARG00000011299,9
ENSDARG00000041575,5
ENSDARG00000058962,4
ENSDARG00000089799,0
ENSDARG00000075325,30
ENSDARG00000041570,15
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,4
ENSDARG00000014313,230
ENSDARG00000104279,68
ENSDARG00000103783,9
ENSDARG00000103519,0
ENSDARG00000100307,1
ENSDARG00000101089,1
ENSDARG00000115421,5
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,1
ENSDARG00000080051,0
ENSDARG00000067781,2
ENSDARG00000099108,0
ENSDARG00000001870,122
ENSDARG00000002791,138
ENSDARG00000007739,75
ENSDARG00000039131,26
ENSDARG00000040252,13
ENSDARG00000089477,4
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,1
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,28
ENSDARG00000040246,1
ENSDARG00000040245,20
ENSDARG00000082290,0
ENSDARG00000074381,1
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,3
ENSDARG00000070581,3
ENSDARG00000096559,0
ENSDARG00000103156,2
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,16
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,19
ENSDARG00000033928,16
ENSDARG00000031164,73
ENSDARG00000037777,4
ENSDARG00000016706,15
ENSDARG00000030350,0
ENSDARG00000006526,105
ENSDARG00000077688,11
ENSDARG00000096546,8
ENSDARG00000092671,5
ENSDARG00000113935,0
ENSDARG00000063297,1
ENSDARG00000027078,21
ENSDARG00000017537,4
